# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
1424.0	33.0387
1425.0	33.0201
1426.0	33.0011
1427.0	32.9827
1428.0	32.9639
1429.0	32.9454
1430.0	32.9267
1431.0	32.9079
1432.0	32.8893
1433.0	32.8707
1434.0	32.852
1435.0	32.8335
1436.0	32.8149
1437.0	32.7963
1438.0	32.7777
1439.0	32.7592
1440.0	32.7406
1441.0	32.722
1442.0	32.7035
1443.0	32.685
1444.0	32.6664
1445.0	32.648
1446.0	32.6294
1447.0	32.6109
1448.0	32.5925
1449.0	32.574
1450.0	32.5554
1451.0	32.5371
1452.0	32.5186
1453.0	32.5002
1454.0	32.4818
1455.0	32.4634
1456.0	32.445
1457.0	32.4265
1458.0	32.4081
1459.0	32.3898
1460.0	32.3715
1461.0	32.3531
1462.0	32.3348
1463.0	32.3164
1464.0	32.2981
1465.0	32.2797
1466.0	32.2615
1467.0	32.2431
1468.0	32.2248
1469.0	32.2066
1470.0	32.1885
1471.0	32.1702
1472.0	32.1518
1473.0	32.1337
1474.0	32.1153
1475.0	32.0971
1476.0	32.0789
1477.0	32.0608
1478.0	32.0425
1479.0	32.0242
