# Data was provided from Jon Gudmundsson
# freq[GHz]	T_rj[K_rj]
18.79912	151.0766
18.80227	151.0639
18.80436	151.0573
18.80576	151.0523
18.80669	151.0488
18.80731	151.0464
18.80773	151.0453
18.808	151.0446
18.80819	151.0441
18.80831	151.0437
18.80839	151.0435
18.80845	151.0433
18.80848	151.0432
18.80851	151.0432
18.80853	151.0431
18.80855	151.043
18.80859	151.0428
18.80866	151.0426
18.80875	151.0422
18.80889	151.0415
18.8091	151.0403
18.80941	151.0389
18.80988	151.0373
18.81059	151.0355
18.81165	151.0312
18.81323	151.026
18.81561	151.0174
18.81919	151.0045
18.82454	150.9841
18.83258	150.9573
18.84464	150.9149
18.858	150.8675
18.86691	150.8351
18.87285	150.8142
18.87681	150.8011
18.87946	150.7912
18.88122	150.7853
18.88239	150.7805
18.88317	150.7781
18.88369	150.7767
18.88404	150.7757
18.88427	150.775
18.88443	150.7743
18.88453	150.7737
18.8846	150.7733
18.88464	150.7731
18.88467	150.7729
18.8847	150.7728
18.88472	150.7727
18.88475	150.7726
18.88481	150.7723
18.88488	150.772
18.885	150.7714
18.88518	150.7707
18.88544	150.7698
18.88583	150.7686
18.88643	150.7666
18.88732	150.7643
18.88865	150.7585
18.89065	150.7525
